STATE,BUSINESS UNIT,FEEDER NAME,NON-MD SERVICE BAND,CAP (kWh),COMPANY / SOURCE
LAGOS,IKEJA BU,11-ADENIYI JONESINJ-T1-ANIFOWOSHE,A,"1,062",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-AGEGEINJ-T1-IJU ROAD,C,623,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-AGEGEINJ-T3-OYEMEKUN,B,696,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-AJAOINJ-T2-NEW ESTATE,C,987,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ILUPEJUINJ-T1-BHOJSON,A,"1,820",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ILUPEJUINJ-T4-IKORODU,A,"1,121",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-MARYLANDINJ-T1-PTC,A- BILATERAL,"1,295",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-MARYLANDINJ-T2-GRA,B,"1,658",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-MARYLANDINJ-T2-OJOTA,A,"1,048",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T4-ALLEN,A,"1,220",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T4-OREGUN,A,"1,317",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T4-SIYANBOLA,A,"1,284",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T5-ALAUSA,B,"1,238",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
